,answers,district,month,query-type,questions,state
4919,"['Recommended for to control of fungal attack spray  Carbendazim 12% + Mancozeb 63% WP 40 gm and streptocyclin 2 gram at 15 liter of water.', 'Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack in brinjal crop use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water']",JABALPUR,5,	Plant Protection	,about attack brinjal control crop farmer fungal how in information know of to to wants,MADHYA PRADESH
4920,"['JODHPUR MANDI ME JEERA KE BHAV =16500 RS./QUT.', 'JODHPUR MANDI ME JEERA KE BHAV  =15440 RS./QUT.', 'JODHPUR MANDI ME  JEERA KE BHAV = 15950 RS./QUT', 'JODHPUR MANDI ME JEERA KE BHAV =16250 RS./QUT.', 'BEAWAR  JEERA (CUMIN) 16000 PER QUINTAL']",BARMER,5,Market Information,information jeera market me of tell,RAJASTHAN
4921,"['VARIETIES OF DRUMSTICKS- KOKAN RUCHIRA , P.K.M-1,P.K.M-1, ODISHI']",THANE,1,Seeds and Planting Material,about asked drumsticks of varieties,MAHARASHTRA
4922,"['SPRAY SOLUBLE NPK 19:19:19 GRADE 6-8 GM/LTR WATER', 'SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER \r\nSPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER']",ALWAR,8,Nutrient Management,brinjal in management me nutrient tell,RAJASTHAN
4923,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],BARMER,8,	Plant Protection	,anar control me of pest tell,RAJASTHAN
4924,"['SUBCIDY IN  ANIMAL CREDIT 2-10 ANIMAL SIX LAKH MAXIMUM', 'SUBCIDY IN  ANIMAL CREDIT 10 ANIMAL SIX LAKH MAXIMUM']",AJMER,9,Dairy Production,animal credit in me subcidy tell,RAJASTHAN
4925,['APPLY DAP @ 20KG + MOP @ 10KG./ACRE AS FERTILIZER IN GREEN GRAM'],BALANGIR,1,Cultural Practices	,fertilizer gram green in,ODISHA
4926,['SPRAY OF KERATHIAN LC 1 GRAM PER LITER WATER FOR CONTROL OF POWDERY MILDEW DISEASE IN TINDA'],AJMER,3,	Plant Protection	,control disease in me mildew of powdery tell tinda,RAJASTHAN
4927,['Recommended for Spray N: P: K 19:19:19 @  100 grams at 15 liter of water.'],JABALPUR,1,Fertilizer Use and Availability,and better crop fertilizer for give growth in lentil nutrient which,MADHYA PRADESH
4928,['SPRAY OF ACEPHATE 75% SP 2 GM+MENCOZEB 2 GM PER LITER WATER'],ALWAR,8,	Plant Protection	,and control cotton fungas in pest sucking tell,RAJASTHAN
4929,"[""Dear in your's sagar mandi the rate of Black gram crop is 4350 Rs. minimum/quintal 4700 Rs. maximum/quintal 4500 Rs. average/quintal."", ""Dear in your's sagar mandi the rate of black gram crop is Rs2740. minimum/quintal Rs.3980 maximum/quintal Rs. 3650average/quintal.""]",SAGAR,5,Market Information,about at black farmer gram know madhya mandi of of pradesh rate sagar to wants,MADHYA PRADESH
4930,['SPRAY OF N;P;K 18:18:18 10 GM PER LITER WATER'],ALWAR,9,Nutrient Management,in management me nutrient tell tometo,RAJASTHAN
4931,"['VERAITY OF BITTER GAURD = Arka Harit, Priya and Preethi are mainly cultivated']",BARMER,1,Vegetative Propagation and Tissue Culture,bitter gaurd me of tell veraity,RAJASTHAN
4932,['Dial *491*103# this no. for activation of USSD service.'],JABALPUR,1,Cultural Practices	,dial farmer for his know mobile no on service start to ussd wants,MADHYA PRADESH
4933,['Recommended for Spray Dimethoate 30%EC (Rogar) 30 ml per pump.'],SAGAR,7,Cultural Practices,bitter control crop farmer fly guard in information measures need of regarding white,MADHYA PRADESH
4934,"['Spray N: P: K 19:19:19 100 grams /15 liter of water.', 'Spray N: P: K 00:52:34 100 grams /15 liter of water.']",JABALPUR,1,Nutrient Management,about and better crop farmer fertilizer for give growth in information know nutrient to want wheat which,MADHYA PRADESH
4935,"['GREEN GRAM VARIETY---JYOTI,PUSA 9072']",BALANGIR,1,Cultural Practices	,gram green variety,ODISHA
4936,"['00:52:34-60 gram + microla -30 mili / 15 liter water', 'use  1 kg urea, 1.5 kgs single super phosphate and 500 gm of mutate of potash should be given per plant.', '2000 urea g + 1500 single super phosphate g + 400 mutant of potash g / plant', 'Before preparing the dish vapor, give a good depleted manure or compost manure in every ray (1 tuning), like a car, after the construction of the bed plant, Me Apply a good compost fertilizer layer of 3 kg on the field. Then it should be given 2 kg of ammonium sulphate or 1 kg urea fertilizer per R field. The rain starts from 7 to 8 cm. The distance between lines and 1 to 2 Me Cover the soil with sowing of deep seed. It is possible to sow the seeds even before 3 to 4 days before the rain forecast. After 15 days after sowing, give 2 kg of ammonium sulphate or 1 kg urea fertilizer to R-R area. For planting one hectare seedlings should be prepared on 10 R (10 gunths) area using seed.', '19:19:19-60 GRAM + MICROLA- 30 MILI  / 15 LITER WATER']",RATNAGIRI,1,Fertilizer Use and Availability,about asked dose fertilizer,MAHARASHTRA
4937,['PLEASE VISIT YOUR AGRICULTURE OFFICER OF NEARER NATIONALISED BANK'],RAIGARH,1,Government Schemes,about asking crop insurance,MAHARASHTRA
4938,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF DIMETHOATE 30% EC 2 ML PER LITER WATER']",BARMER,2,	Plant Protection	,control crop cumin in me pest suking tell,RAJASTHAN
4939,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml per pump.'],SAGAR,4,	Plant Protection	,about chilli control crop farmer in know of pest sucking to want,MADHYA PRADESH
4940,"['VARIETY OF CAULIFLOWER ---KARTIKA,SWETA,GOODMAN', 'VARIETY OF CAULIFLOWER--PUSA EARLYSYSNTETIC,KARTIKA,PUSADEEPALI,TUSARA,', 'VARIETY OF CAULIFLOWER--PUSA DIPALI, GOODMAN,PANTHA GOVI', 'NS 60N, ATI SHIGHRA,NS 120,BASANTH', 'VARIETY OF CAULIFLOWER--KARTIKA,SWETA,GOODMAN,TUSAR', 'VARIETY OF CAULIFLOWER---KARTIKA,SWETA,GOODMAN,TUSARA', 'NS 60N,ATI SHIGHRA,NS 120,BASANTH,GREESHMA (NAMDHARI SEEDS)', 'VARIETY OF CAULIFLOWER--KARTIKA,EARLY KUNARI,PUSA DEEPALI,APRAJITA,PUSA KATAKI', 'VARIETY OF CAULIFLOWER---PUSA EARLY SEINTHETIC,PUSA DEEPALI,GOODMAN']",BALASORE,8,Cultural Practices,cauliflower of variety,ODISHA
4941,['Recommended for seed treatment of urd treat the seed with thiram or captan or mancozab or monosan @2-2.5gram/kg of seed.'],JABALPUR,3,	Plant Protection	,about farmer information know of seed to treatment urad wants,MADHYA PRADESH
4942,['dimethoate 30 ec 1.5 ml / liter pani ke sath spray kare'],ALWAR,2,	Plant Protection	,hai me mirch patti rahi sikud,RAJASTHAN
4943,"['Recommended for ICPL-151,ICPL-87,PUSA-33,PUSA-885,KHARGON-2,JAWAHAR-4 are pigeon pea varieties.']",SAGAR,4,Varieties,about crop farmer know of pea pigeon to verities wants,MADHYA PRADESH
4944,"['DAIRY ANIMALS SUBSIDY BY NABARD BANK 25%(GENERAL ,OBC ) OR SC,ST CATEGERY FARMERS 33%', 'DAIRY ANIMALS SUBSIDY BY NABARD BANK 25 % (GENERAL AND OBC) OR 33%SC,ST FARMERS']",BARMER,9,Government Schemes,animals bank by dairy me nabard subsidy tell,RAJASTHAN
4945,['your ragistration done by kisan call centre'],SAGAR,8,Government Schemes,call centre farmer in khow kisan ragistration to want y,MADHYA PRADESH
4946,"['Bhopal\t1.9\tTonnes\tDesi (Whole)\t4310\t4700\t4700\tRs/Quintal', 'Jabalpur\t37.3\tTonnes\tKala Masoor New\t3405\t3700\t3580\tRs/Quintal', 'Damoh\t6\tTonnes\tOther\t3300\t4580\t4575\tRs/Quintal', 'Sagar\t1812.5\tTonnes\tOther\t1475\t2100\t1900\tRs/Quintal', 'Sagar\t0.5\tTonnes\tOther\t2400\t3720\t3450\tRs/Quintal', 'Bhopal\tNR\tTonnes\tOther\t3700\t3700\t3700\tRs/Quintal']",SAGAR,6,Market Information,about farmer information know mandi rate to wants,MADHYA PRADESH
4947,"['Recommended for spray  indoxacard 14.5%EC 12ml per pump .', 'Recommended for Spray of Queenolfos 25 EC 1000 Ml. / hac.', 'Recommended for spray  indoxacard 14.5%EC 12ml per pump .-----green semilooper,tobaco caterpiller,pod borer']",SAGAR,2,	Plant Protection	,caterpillars control crop gram how in to,MADHYA PRADESH
4948,"['BARMER\tGOWAR\t3950RS/QT', 'BIKANER (GRAIN)\tGOWAR\t3204RS/QT', 'BARMER\tGOWAR\t3180RS/QT', 'BARMER\tGOWAR\t3600RS/QT', 'BARMER  GOWAR 3033 RS/QT', 'JODHPUR (GRAIN)\tGOWAR\t3050RS/QT', 'JODHPUR (GRAIN)  GOWAR 3862 RS/QT', 'BARMER  GOWAR 3600 RS/QT']",BARMER,4,Market Information,guar in market me rate tell,RAJASTHAN
4949,['Use recommended dose of chlorpyriphose 200gram dust spray per plant.'],SAGAR,4,	Plant Protection	,control crop farmer hopper in information mango mango measures needs of regarding,MADHYA PRADESH
4950,"['FERTILIZER IN LEMON OF 4 YRS. FYM= 10 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",ALWAR,1,Nutrient Management,4 fertilizer in lemon me of tell yrs,RAJASTHAN
4951,"['Recommended for foliar application of NPK 0:52:34 water soluble fertilizer @ 100 gm/pump.', 'Recommended for N: P: K 0:52:34 momo potassium phosphate (Potassium Dihydrogen Phosphate) 1 kg at per Acer or 100 gram per pump', 'Recommended for N: P: K 0:52:34 1 kg at per Acer or 100 gram per pump', 'Recommended for foliar application of IFFCO 0:0:50 water soluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of IFFCO N:P:K  0:0:50 water soluble fertilizer @ 80-100 gm/pump.', 'Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.']",SAGAR,1,Cultural Practices,farmer growth how increase information needs of onion regarding to,MADHYA PRADESH
4952,['CONTACT NO. OF POULTRY FARM= 0141-2350929'],ALWAR,6,Market Information,contact farm me number of poultry tell,RAJASTHAN
4953,['JULY - AUGUST SOWING TIME IN TULSI'],ALWAR,1,Nursery Management,in me sowing tell time tulsi,RAJASTHAN
4954,"['?\tRecommended for to control of fungal attack use copper oxy chloride 50% WP (Blue copper or Dhanucop) 40 gram and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack in gram crop use captan 5% + hexaconazol 70% use 40gm and streptocyclin 2 gram at 15 liter of water or Spray of Hexaconazole 5% EC @ 250-400 ml/acre or 20ml/pump and streptocyclin 2 gram at 15 liter of water', 'spray Thiram 15% + Carbendazim 35% 30-40 gram per pump and streptocyclin 2 gram at 15 liter of water or in Azoxystrobin 11% + Tebuconazole 18.3% w/w SC 24-30 ml per pump or Metalaxyl-8% + Mancozeb-64% WP (Ridomil or UNILAX) @ 30 g/pump and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack in gram crop use validamycin 3% L 25ml at 15 liter of water', 'Recommended for control of fungal attack spray carbendazim 12% + mancozeb 63% 40gm/pump and streptocyclin 2 gram at 15 liter of water.']",SAGAR,8,Cultural Practices,attack black control crop farmer fungal gram how in information needs of regarding to,MADHYA PRADESH
4955,['RECOMMENDED TO SPRAY BOOM FLOWER @ 2 ML / 1 LIT OF WATER'],BALASORE,4,Cultural Practices,flowering in less moong,ODISHA
4956,['DETAIL PACKAGE OF PRACTICE EXPLAINED IN COTTON CULTIVATION'],BALANGIR,1,Fertilizer Use and Availability,cotton cultivation,ODISHA
4957,"['Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",DAMOH,7,	Plant Protection	,control crop farmer how in information needs papaya pest regarding sucking to,MADHYA PRADESH
4958,['Spray recommended dose of Queenolfos 25 EC 1000 Ml/hac.'],SAGAR,3,	Plant Protection	,caterpillars control crop farmer in information measures needs of okra regarding,MADHYA PRADESH
4959,['for control of flower drop in bhindi=\r\nSPRAY PLANOFIX 4 ML(Bayer) in 15 LITER WATER..........'],THANE,1,Cultural Practices,about asked bhindi drop farmer flower in,MAHARASHTRA
4960,"['VARIETY OF CUCUMBER = POINSET, PUSA SANYOG, PUSA UDAI']",ALWAR,3,Seeds and Planting Material,about gourd me of point tell variety,RAJASTHAN
4961,['SPRAY COPPER OXYCHLORIDE @ 3GM/1LIT WATER FOR FUNGAL INFECTION IN BETEL VINE'],BALASORE,3,	Plant Protection	,betel fungal in infection vine,ODISHA
4962,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],BANSWARA,4,	Plant Protection	,control droping flower in me of tell tomato,RAJASTHAN
4963,"['Spray Bavistin or Benomyl-1.5gm per Litre of water, repeat after 8-days again']",BALANGIR,8,	Plant Protection	,control early in red rot sugarcane,ODISHA
4964,['Recommended for to control of fungal attack spray carbandazim + mancozeb 40gm/pump and streptocyclin 2 gram at 15 liter of water'],JABALPUR,5,	Plant Protection	,attack control funggal how in maize to,MADHYA PRADESH
4965,['recommended for to control defoliators Spray any one of the following insecticides in the initial stage of infestation \r\n Indoxacarb 14.5 % SC @ 10-12ml /pump'],JABALPUR,9,	Plant Protection	,about control crop defoliators farmer how in information know paddy to to want,MADHYA PRADESH
4966,['to control of fungal attack in gram crop use belademycin 25ml at 15 liter of water'],SAGAR,1,	Plant Protection	,about attack control crop farmer fungal how in information know lentil of to to want,MADHYA PRADESH
4967,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE', 'SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER']",ALWAR,7,	Plant Protection	,bottle control gourd in insect me tell,RAJASTHAN
4968,['SPRAY IMIDACHLORPRID (TATAMIDA) @ 6ML/15LIT WATER FOR RED SPIDERMITES IN MARIGOLD'],CUTTACK,4,	Plant Protection	,in marigold red spidermites,ODISHA
4969,['INJECT NUVAN 5 ML / LITTER OF WATER IN THE TUNEL AND CLOSE THE HOLE WITH COW DUNG'],RATNAGIRI,1,	Plant Protection	,attack boror in mango mango of stem,MAHARASHTRA
4970,"['MANDI BHAW OF MOTH IN JODHPUR = 3352 RS/QT', 'MANDI BHAW OF MOTH IN JODHPUR = 3250 RS/QT', 'MANDI BHAW OF MOTH IN JODHPUR  = 3140 RS/QT']",BARMER,4,Market Information,bhaw in jodhpur mandi me moth of tell,RAJASTHAN
4971,['ALL WEED CONTROL IN WHEAT CROPS SPRAY VISTA ( CLODINAPHOP PROPARGYL 15 % + METASULFURANMETHYL 1%) 64 GM PAR HEC AFTER 30-35 DAYS'],ALWAR,1,Weed Management,control in me of tell weed wheat,RAJASTHAN
4972,['Spray Bavistine 30gm/15liter of Water(Carbendazim 50%)BASF'],THANE,1,	Plant Protection	,bhendi fungicides,MAHARASHTRA
4973,"['Improved varieties of soybean Farmers JS 2029, JS 2034, NRC 86 and RVS 2001-04 strands.']",SAGAR,5,Varieties,about farmer improved know of soybean to varieties want,MADHYA PRADESH
4974,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 30 GM + STREPTOCYCLIN 1.5 GM / LIT WATER FOR CONTROL OF LEAF BLIGHT IN RIDGE GOURD'],DHENKANAL,2,Cultural Practices,blight gourd in leaf ridge,ODISHA
4975,['Spray recommended dose of Profenofos 40% + Cypermethrin 4% EC 1000 Ml/hac.'],JABALPUR,4,	Plant Protection	,caterpillar control crop farmer in information measures moong needs of regarding,MADHYA PRADESH
4976,['SPRAY OF DICOFOL 1.5 ML PER LITER WATER'],ALWAR,7,Nutrient Management,control me mite tell,RAJASTHAN
4977,['SPRAY ZINK SALPHET 33% 5 GM+BUJHA CHUNA 2.5 GM/LITER WATER'],ALWAR,1,Fertilizer Use and Availability,barley colour control in leaf me tell yellow,RAJASTHAN
4978,"['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER', 'SPERAY OF CAEPHATE 21 GM/LITRE']",ALWAR,8,	Plant Protection	,aphid control cotton in me tel,RAJASTHAN
4979,"['RECOMMENDED TO SPRAY THIOMETHOXAM 5GM/10 LIT WATER FOR CONTROL OF WHITE FLIES IN POINTED GOURD', 'RECOMMENDED TO SPRAY THIOMETHOXAM 5 GM/ 10 LIT WATER FOR CONTROL OF WHITE FLIES IN POINTED GOURD', 'RECOMMENDED TO SPRAY THIOMETHOXAM 5GM/ 10 LIT WATER FOR CONTROL OF WHITE FLIES IN POINTED GOURD']",DHENKANAL,7,	Plant Protection	,flies gourd in pointed white,ODISHA
4980,['Recommended  for spray to planofix 5-7 mili/pump'],JABALPUR,5,Nutrient Management,control drop flower how in moong to,MADHYA PRADESH
4981,"['State- MP, Date 27/03/2017, mandi - jabalpur  , crop - gram  , Minimum Price- 3460 Rs/Quintal , Maximum Price- 5755 Rs/Quintal  Modal Price- 5370 Rs/Quintal.', 'State- MP, Date 09/03/2017, mandi - jabalpur , crop - gram , Minimum Price- 4160Rs/Quintal , Maximum Price- 4960Rs/Quintal  Modal Price- 4750Rs/Quintal.']",JABALPUR,3,Market Information,about farmer gram in jabalpur know mandi mandi of rate to want,MADHYA PRADESH
4982,"['EARLY VARIETY OF CAULIFLOWER= PUSA MEGHNA, PUSA KARTIK SANKAR, PUSA DEEPALI']",ALWAR,5,Vegetative Propagation and Tissue Culture,cauilflower me of tell varitey,RAJASTHAN
4983,"['USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION', 'USE  Fipronil 0.3% GR 12-15 KG PER HA', 'USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE', 'USE CHLOROPYRIFOS 20% EC 40 ML PER PALNT WITH IRRIGATION']",ALWAR,6,	Plant Protection	,control cotton in me of tell termite,RAJASTHAN
4984,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],ALWAR,9,	Plant Protection	,control diback disease in leman me of tell,RAJASTHAN
4985,"['SPRAY FANTAC PLUS @ 2ML/1LIT WATER FOR GROWTH OF TOMATO', 'SPRAY FANTAC PLUS @ 1ML/1LIT WATER FOR  GROWTH OF TOMATO']",BALASORE,3,Cultural Practices,for growth of tomato,ODISHA
4986,['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP'],DAMOH,2,	Plant Protection	,chilli control how in sucking to,MADHYA PRADESH
4987,['SPRAY FNTAC PLUS @ 1ML/1LIT WATER FOR GROWTH OF WATERMEALON'],DHENKANAL,2,Fertilizer Use and Availability,for growth of watermealon,ODISHA
4988,['Use Carbon disulphide 30 g/100 kg of seeds for breaking the dormancy and inducing sprouting of tubers.'],SAGAR,9,Cultural Practices,crop farmer in information need potato regarding seed treatment,MADHYA PRADESH
4989,['SPRAY OF PENDIMETHILIN 30% EC 2.5-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION'],BARMER,7,Weed Management,control groundnut in me tell weed,RAJASTHAN
4990,['When your crop become 15 to 20 days you will be spray qugelefop ethyel @400ml per acar for narrow leaf weeds and emejhathayper @300 ml per acar for broad leaf weeds |'],SAGAR,7,Weed Management,about control crop farmer how information know of soybean to to want weeds,MADHYA PRADESH
4991,['Madhya Pradesh \tHata \tPulses \tLentil(Masur) \tOther \tFAQ \t4900 \t5100 \t5000 \t18 May 2017\r\nMadhya Pradesh \tJavera \tPulses \tBengal Gram(Gram) \tDesi (Whole) \tFAQ \t4900 \t5100 \t5000 \t19 May 2017'],DAMOH,5,Market Information,about and bengal crop farmer gram information know lentil mandi of rate to want,MADHYA PRADESH
4992,['recommended for foliar application of IFFCO 00:52:34 water \r\nsoluble fertilizer @ 100 gm/pump.'],SAGAR,1,Fertilizer Use and Availability,about farmer garlic growth how increase information know of to to wants,MADHYA PRADESH
4993,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,4,Nutrient Management,control droping flower in lahsoda me tell,RAJASTHAN
4994,['JODHPUR (GRAIN)  GOWAR 3657RS/QT.'],BARMER,4,Market Information,about infomatuon market me tell,RAJASTHAN
4995,"['MUSTARD SOWING TIME- UN IRRIGATED- 15 SEPTEMBER TO 15 OCTOBER , IRRIGATED- OCTOBER LAST']",ALWAR,9,Sowing Time and Weather,aout me mustard of sowing tell time,RAJASTHAN
4996,"['SOIL TESTING LAB CONTRACT', 'DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL']",ALWAR,5,	Plant Protection	,me process soil tell testing,RAJASTHAN
4997,"['recommended for to control sucking pest  Spray dimethoate 30 EC 500 ml/ha', 'Thiamethoxam 25 % WG \t4.0  ml/10 lit.']",DAMOH,5,	Plant Protection	,about bhindi control crop farmer how in information know pest sucking to to want,MADHYA PRADESH
4998,['RATE OF GUAR IN  AJMER MANDI-2850 RS/QT'],AJMER,3,Market Information,about ajmer guar in mandi me of rate tell,RAJASTHAN
4999,['Recommended for to increase yield of brinjal foliar application of IFFCO 0:52:34 water soluble fertilizer @ 100 gm/pump.'],SAGAR,5,Fertilizer Use and Availability,about brinjal crop farmer how increase information know of to to wants yield,MADHYA PRADESH
5000,"['Minimum-1550  Rs/Quintal, Maximum-2100  Rs/Quintal, Modal price-1800  Rs/Quintal']",SAGAR,4,Market Information,farmer in information khurai mandi market needs of rate regarding wheat,MADHYA PRADESH
5001,['SPRAY OF CAEPHATE 2 GM/LITRE'],BARMER,8,	Plant Protection	,control curul in leaf me moong tell,RAJASTHAN
5002,['Recommended for N: P: K 0:52:34 momo potassium phosphate (Potassium Dihydrogen Phosphate) 1 kg at per Acer or 100 gram per pump'],SAGAR,3,Fertilizer Use and Availability,crop farmer growth how increase information needs of onion regarding to,MADHYA PRADESH
5003,['Recommended for to take mubabja contact to patwari or tehsildar'],SAGAR,8,Weather,about farmer how information know mubabja take to to wants,MADHYA PRADESH
5004,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,3,	Plant Protection	,about control in insect longmelon me tell,RAJASTHAN
5005,"['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER', 'SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5  GM PER 15 LITER WATER', 'SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER']",BARMER,2,	Plant Protection	,bacterial blight control cummin disease in me of tell,RAJASTHAN
5006,"['???? ???????? ?????? 01452440023', 'KRISHI VIGYAN KENDRA TELL.NO.01468275276']",AJMER,6,Market Information,contact k k me no tell v,RAJASTHAN
5007,['SORAY OF SULPHUR 2 GM/LITRE'],BARMER,1,	Plant Protection	,control fungal in me tell,RAJASTHAN
5008,['Drenching of Chloropyrifos 20% EC 60 ml at 15 litre water'],SAGAR,6,Weather,about control farmer information know of pest to tomato want,MADHYA PRADESH
5009,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],ALWAR,8,	Plant Protection	,bhindi control in me tell whitefly,RAJASTHAN
5010,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,brijil control in insect me tell,RAJASTHAN
5011,"[""Dear in your's Bina mandi the rate of gram crop is 4000 Rs. minimum/quintal 4400 Rs. maximum/quintal 4200 Rs. average/quintal.""]",SAGAR,4,Market Information,about at bina farmer know lentil madhya mandi of of pradesh rate to wants,MADHYA PRADESH
