,answers,district,month,query-type,questions,state
3613,['Recommended for to control of flower and fruit drop spray planofix 5 ml per pump'],DAMOH,5,	Plant Protection	,about and control crop drop farmer flower fruit in information know of to tomato want,MADHYA PRADESH
3614,"['recommended for to control stem  borer in paddy crop spray cartap hydrochloride or phorate 10G @ 12.5kg/hac.', 'recommended for to control stem borer in paddy apply phorate 10G @ 12.5kg/hac.']",SAGAR,9,	Plant Protection	,about borer control farmer how in information know stem to to tomato want,MADHYA PRADESH
3615,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,4,	Plant Protection	,checkoo down fall fruit me tell,RAJASTHAN
3616,"['RECOMMENDED TO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN ONION', 'RECOMMENDED TO SPRAY ROGOR 2ML / 1 LIT WATER', 'RECOMMENDED TO SPRAY TATAMIDA 1ML/3 LIT WATER FOR CONTROL OF SUCKING PEST IN ONION']",BALANGIR,4,	Plant Protection	,in onion pest sucking,ODISHA
3617,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,bhindi control in me pest suking tell,RAJASTHAN
3618,['CONTECT NUMBER 0144-2701764'],ALWAR,2,Animal Breeding,contect in me number tell,RAJASTHAN
3619,"['VARIETY OF GRAPE = Muscat (Panneer), Pachadraksha, Anab-e-Shahi, Thompson Seedless, Arka Shyam, Arka Kanchan, Arka Hans, Manik Chaman, Sonaka, Sharadh Seedless and Flame Seedless']",ALWAR,8,Vegetative Propagation and Tissue Culture,grape me of tell variety,RAJASTHAN
3620,"['Recommended for to increase growth of moong crop  foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of moong foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.']",SAGAR,3,Fertilizer Use and Availability,about crop farmer growth how increase information know moong of to to wants,MADHYA PRADESH
3621,['Javera\tBengal Gram(Gram)\t23.6\tTonnes\tNR\tDesi (Whole)\tFAQ\t5100\t5300\t5200\tRs/Quintal'],SAGAR,4,Market Information,about farmer gram information information javera know market of to wants,MADHYA PRADESH
3622,['SPRAY OF NPK 10 GM/LITRE'],ALWAR,2,Fertilizer Use and Availability,cauliflower growth in me tell,RAJASTHAN
3623,['YOU CAN NOT USE HERBICIDE IN STANDING CROP OF MAKKA'],ALWAR,7,Weed Management,control in makka me tell weed,RAJASTHAN
3624,['THREE DAYS RAINFALL'],ALWAR,8,Weather,information me tell wather,RAJASTHAN
3625,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],AJMER,5,	Plant Protection	,control guar hopper in leaf me of tell,RAJASTHAN
3626,['SPRAY COPPER OXYCHLORIDE (BLITOX) @ 3GM/1LIT WATER FOR LEAF RUST IN POINTED GOURD'],BALASORE,4,	Plant Protection	,gourd in leaf pointed rust,ODISHA
3627,['CONTECT IN NEAREST BANK.'],BARMER,4,Credit,i land loan to want,RAJASTHAN
3628,['RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 15 LIT OF WATER'],BALASORE,3,	Plant Protection	,basella fly in white,ODISHA
3629,"['Use recommended dose of nitrogen 20 kg per hectare (ures-55-60 kg per hectare, 23-24 kg per acre, 10-12 kg per bigha, if you give DAP so UREA dose is 35-36 kg per hectare), phosphorus 40-60 kg per hectare (SSP- 264-396 kg per hectare, 118-158 kg per acre, 52-70 kg per bigha, for DAP-108-162 kg per hectare, 43-64 kg per acre, 20-28 kg per bigha),  potash 20 kg per hectare (MOP- 34 kg per hectare, 14 kg per acre, 6-7 kg per bigha), Sulpher- 20 kg per hectare (8 kg per acre, 3-4 kg per bigha), Zinc 20-25 kg per hectare (8-10 kg per acre, 4-5 kg per bigha)', 'Use recommended dose of FYM 15-20 ton per hectare,  urea- 55-60 kg per hectare, if you give DAP so UREA dose is 35-36 kg per hectare, SSP- 264-396 kg per hectare, if you not give SSP so you can use for DAP-108-162 kg per hectare, MOP- 34 kg per hectare, Sulpher- 20 kg per hectare, Zinc 20-25 kg per hectare.']",DAMOH,5,Nutrient Management,crop farmer in information management needs nutrient regarding soybean,MADHYA PRADESH
3630,['SPRAY OF ATRAZINE 2.5 GM PER LITER WATER AFTER SOWING BUT BEFORE GERMINATION'],ALWAR,7,Weed Management,bajra control in me trll weed,RAJASTHAN
3631,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],BARMER,4,	Plant Protection	,control insect me of tell watermelon,RAJASTHAN
3632,['Spray boom flower 20 ml (nitrobenzene 20%)/15 lit of water-DEVICROP AGRO SCI.COMP.'],RATNAGIRI,2,Nutrient Management,flowering in mango,MAHARASHTRA
3633,['RECOMMENDED TO SPRAY POLYFEED (19-19-19) @ 7 GRAM / 1 LIT OF WATER'],BALANGIR,8,Cultural Practices,cotton growth of slow,ODISHA
3634,"['spray of Tebuconazole 50% + Trifloxystrobin 25% w/w  (native 75% WP) 200 gram / hac.or Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.']",SAGAR,2,	Plant Protection	,about crop farmer in information know loose smut to want wheat,MADHYA PRADESH
3635,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],BARMER,3,	Plant Protection	,about me of plant protection tell tometo,RAJASTHAN
3636,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,2,	Plant Protection	,brijil control in me root rot tell,RAJASTHAN
3637,['PUSA  GORAV PUSA SADABAHAR PUSA ROHINI PH 8'],ALWAR,5,Seeds and Planting Material,in me tell tomato vartiy,RAJASTHAN
3638,['Recommended for soil testing please contact at your nearest krishi vigyan kendra or krishi upaj mandi.'],SAGAR,6,Government Schemes,9farmer district doing in information needs our regarding soil testing we where,MADHYA PRADESH
3639,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 2GM + PLANTOMYCIN 1.5 GM/ LIT WATER FOR CONTROL OF LEAF BLIGHT IN CAULIFLOWER'],BALANGIR,1,	Plant Protection	,blight cauliflower in leaf,ODISHA
3640,['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP'],SAGAR,3,	Plant Protection	,control how in onion sucking to,MADHYA PRADESH
3641,['JODHPUR MANDI RATE OF ISBGUL=10420 Rs./Q.'],BARMER,4,Market Information,about isbgul mandi me of rate tell,RAJASTHAN
3642,"['NO WEEDICIDE IN ,HAND WEEDING']",AJMER,7,	Plant Protection	,in me sorghum tell weedicide,RAJASTHAN
3643,"['VARITIES OF CUCUMBRER-PUSA SHYOG,PUSA UDAY']",ALWAR,3,	Plant Protection	,cucumbrer me of tell varities,RAJASTHAN
3644,['Recommended for Spray Dimethoate 30%EC (Rogar) 30 ml per pump.'],DAMOH,1,	Plant Protection	,control crop farmer fly garlic in information measures need of regarding white,MADHYA PRADESH
3645,['PLEASE CONTACT TO AG DEPTT. OF YOUR DISTT.'],ALWAR,6,Government Schemes,about info kheti ki me moti tell,RAJASTHAN
3646,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,5,	Plant Protection	,controle in me papaya pest tell,RAJASTHAN
3647,"['SPRAY OF THIOUREA 0.5 GM PER LITER WATER', 'SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER']",ALWAR,2,Nutrient Management,in me plant protaction tell wheat,RAJASTHAN
3648,['Recommended  for to know information about fodder management of animal  contact to your animal hospital/veterinary doctor or contact 18001801199'],SAGAR,3,Animal Nutrition,about animal farmer fodder information know management of to wants,MADHYA PRADESH
3649,"['VARIETY OF CHILLI = RCH 1, NP-46, PUSA JWALA, MATHANIA LONG, PANT C 2']",ALWAR,6,	Plant Protection	,capcicum in me tell verity,RAJASTHAN
3650,['23/09/2017\t53.9\tOther\t2700\t4500\t3850'],SAGAR,9,Market Information,about crop farmer information know mandi of rate to urd want,MADHYA PRADESH
3651,['Recommended for to know information about scheeme of animal  contact to your animal hospital/veterinary doctor or contact 18001801199'],SAGAR,9,Dairy Production,about animal disease farmer information know management of to wants,MADHYA PRADESH
3652,['recommended for to know information about polly house contact to your R H E O'],DAMOH,5,Government Schemes,about farmer house information know polly to want,MADHYA PRADESH
3653,['AFTER 90 DAYS'],BARMER,2,	Plant Protection	,compost days me of parper tell,RAJASTHAN
3654,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,7,	Plant Protection	,bhindi control em in insect tell,RAJASTHAN
3655,"['1.  spray dimethoate 30 EC, 30 ml per pump']",DAMOH,8,	Plant Protection	,about control crop farmer how in information know paddy pest sucking to to wants,MADHYA PRADESH
3656,"['Alwar, ADH \r\nGanpat Lal \r\n0144-2333308']",ALWAR,3,Floriculture,about flowericulture me tell,RAJASTHAN
3657,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,7,	Plant Protection	,about bail control dry in me root tell,RAJASTHAN
3658,['Farmers control of the soybean crop Illion Mithomil 40% SP 25 g / pump to spray at the rate of |'],DAMOH,8,	Plant Protection	,about control crop farmer how in information know podborer to to urd want,MADHYA PRADESH
3659,['PLANT FEMALE : MALE CUTTING RATIO @ 9:1'],CUTTACK,4,	Plant Protection	,deformed fruit gourd in pointed,ODISHA
3660,['SPRAY OF ACEPHATE 2 GM/LITRE'],ALWAR,3,	Plant Protection	,aphid control guwa in me tell,RAJASTHAN
3661,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,5,	Plant Protection	,bhindi control in me of root rot tell,RAJASTHAN
3662,"['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER']",AJMER,7,	Plant Protection	,about control in insect me moong tell,RAJASTHAN
3663,"['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER']",ALWAR,1,	Plant Protection	,cut gram in me tell worm,RAJASTHAN
3664,"['Recommended for damoh mandi rate of bengal gram crop  4900 rupees per quintal on may 2017.', 'Madhya Pradesh \tBina \tPulses \tBengal Gram(Gram) \tKanta \tFAQ \t4500 \t5300 \t4900 \t13 May 2017', 'Madhya Pradesh \tPatharia \tPulses \tBengal Gram(Gram) \tOther \tFAQ \t5000 \t5300 \t5100 \t27 Apr 2017']",DAMOH,5,Market Information,about bengal crop farmer gram information know mandi of rate to wants,MADHYA PRADESH
3665,"['Apply phorate 10G @ 12.5kg/hac.', 'use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field or chloropyriphos 10% granule 10 kg per hectare broadcast with 4 kg sand or chloropyriphos 4% dust 6 kg per acre broadcast with 8-10 kg sand.']",JABALPUR,8,	Plant Protection	,borer control farmer in information measures needs of paddy regarding rice stem,MADHYA PRADESH
3666,"[""The quantity of seed in the farmer's brother Soya bean crop is 80-9 kg / h.""]",SAGAR,6,Seeds,crop of rate seed soybean,MADHYA PRADESH
3667,['CONTECT FOR 0141-5116242'],AJMER,4,Government Schemes,me problem related seed tell,RAJASTHAN
3668,['Dr.Balasaheb Sawant Konkan Krishi Vidyapeeth-Dapoli- 02358 282 065'],THANE,5,Market Information,about asked cultivation,MAHARASHTRA
3669,['Spray Planofix-1ml per 5-litres of water once to the foliage'],BALANGIR,1,Nutrient Management,at flowering hormone mango of stage,ODISHA
3670,['RECOMMENDED TO SPRAY PLANOFIX 1ML/5LIT WATER'],BALANGIR,3,	Plant Protection	,brinjal fruiting in less,ODISHA
3671,"['Recommended  for The summer monsoon sesame , sesame crop is able to produce more . From 15 February to 20 March is the time of sowing . you may sow TKG- 21, TKG-22, TKG-55 . Take 5 kg of seed per hectare per year . 30 cm from line-line and8-10 cm  plant to plant . Urea 130 kg , 250 kg and 33 kg myureta single suparaphaspheta of potash per hectare per insert. Insects, diseases, and weeds will continue to take appropriate measures to continuously monitor and keep it free of the crop']",JABALPUR,5,	Plant Protection	,about cultivation farmer information know of til to wants,MADHYA PRADESH
3672,['Recommended for to control of fungal attack in onion crop use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],JABALPUR,1,	Plant Protection	,about attack control crop fenugreek fungal how in known of to,MADHYA PRADESH
3673,['for more details about gov schemes please visit your taluka agril officer'],RATNAGIRI,4,Government Schemes,about asked gov schemes,MAHARASHTRA
3674,['SPRAY OF ACEPHATE 75% SP 2 GM  + MENCOJEB 2GM PAR LITAR WATER'],BARMER,1,	Plant Protection	,and control cummin fungas in me pest tell,RAJASTHAN
3675,"['Lentil(Masur)\t32.8\tTonnes\t\tKala Masoor New\tFAQ\t3185\t3600\t3490\tRs/Quintal', 'recommended for  market information of urd for jabalpur   minimum-4050 maximum-4200 average-4140Rs/Quintal', 'recommended for  market information of urd for sagar minimum-4000 maximum-4800 average-4500Rs/Quintal']",JABALPUR,5,Market Information,about farmer information information know market of to urd wants,MADHYA PRADESH
3676,['Recommended for Spray  indoxa carb 10 ml at 15 liter of water.'],SAGAR,5,	Plant Protection	,about brinjal caterpillars crop farmer in information need,MADHYA PRADESH
3677,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,8,	Plant Protection	,control me of root rot tell,RAJASTHAN
3678,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,9,	Plant Protection	,black cabbage control in me root tell,RAJASTHAN
3679,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],JABALPUR,2,	Plant Protection	,attack chick control crop farmer fungal in information measures need of pea regarding,MADHYA PRADESH
3680,['PLANTING TIME OF ROSE= OCTOBER-NOVEMBER MONTH'],AJMER,7,Cultural Practices,me of planting rose tell time,RAJASTHAN
3681,['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE'],BARMER,2,Nutrient Management,in lahsoda management me nutrient tell,RAJASTHAN
3682,"['RECOMMENDED TO SPRAY PYMETROZINE @ 5 GRAM / 15 LIT OF WATER', 'RECOMMENDED TO SPRAY IMIDACLOPRID 1ML / 3 LIT WATER', 'RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 1 LIT OF WATER']",CUTTACK,6,	Plant Protection	,brinjal curling in leaf,ODISHA
3683,['Spray recommended dose of Profenofos 40% + Cypermethrin 4% EC 1000 Ml/hac.'],SAGAR,1,	Plant Protection	,about control crop farmer how in information know letharas pest sucking to to want,MADHYA PRADESH
3684,['SPRAY OF BOREX 4 GM PER LITER WATER'],ALWAR,6,Nutrient Management,citrus control cracking fruit in me of tell,RAJASTHAN
3685,['Recommended for Spray Daiphenthuran (pegaasas) 10 to 15 gram at per pump.'],SAGAR,5,	Plant Protection	,attack chilies control crop farmer fly in information measures need of regarding white,MADHYA PRADESH
3686,['Recommended for Spray Use Plano fix @4 to 5 Ml at 15 liter of water.'],JABALPUR,9,Nutrient Management,about control crop drop farmer flower how in information know pea problem to to want,MADHYA PRADESH
3687,['SOYBEAN MANDI RATE 2725\t2735\t2730\tRs/Quintal'],SAGAR,4,	Field Preparation	,crop farmer know mandi of rate soybean to want,MADHYA PRADESH
3688,"['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF FIPROLIN 5 % 2 LITER PER HA', 'SPRAY OF MENCOZEB 2 GM PER LITER WATER']",BARMER,1,	Plant Protection	,control cumin in me pest tell,RAJASTHAN
3689,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],ALWAR,6,	Plant Protection	,bottle control gard in me of root rot tell,RAJASTHAN
3690,"['BAJRA VARITEY HHB67,RHB173', 'VARIETY OF FODDER BAJRA= RAJCO,L-72, L-74, K- 599, RAJ BAJRA CHARI, JOINT BAJRA', 'VARIETY OF FODDER BAJRA= RAJCO,L- 72, L- 74, K- 599, RAJ BAJRA CHARI, JOINT BAJRA']",BARMER,5,Varieties,bajra me of tell varitey,RAJASTHAN
3691,['SPRAY IMIDACHLORPRID (CONFIDER) @ 5ML/15LIT WATER FOR YELLOW VEIN MOSAIC VIRUS'],BALASORE,3,	Plant Protection	,mosaic vein virus yellow,ODISHA
3692,['DAP  Nitrogen 18 % and Phosphorus 46% are available'],JABALPUR,8,Cultural Practices,about composition dap farmer know to want,MADHYA PRADESH
3693,"['VARIETY OF BLACK GRAM--T-9,SARALA,K.U-300']",CUTTACK,5,Cultural Practices,black gram of variety,ODISHA
3694,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],BARMER,1,	Plant Protection	,blight control gram in me tell,RAJASTHAN
3695,"['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP', 'spray imedaclorpid @5-7 ml/pump']",SAGAR,7,	Plant Protection	,about control farmer fly how in information know to to urd want white,MADHYA PRADESH
3696,['Recommended for spray of carbaril 30 gram per pump for control of red pumpkin beetle attack in bottle gourd crop.'],SAGAR,2,	Plant Protection	,attack beetle bottle control crop farmer gourd in information measures need of pumpkin red regarding,MADHYA PRADESH
3697,"['Prior to sowing areas in problem of white braided, put the fortate 10g or carbohydrane at the rate of 3g 20-25 kg / ha. In the field.']",SAGAR,7,	Plant Protection	,crop grountnut grub in white,MADHYA PRADESH
3698,"['CONTACT AAO/AHO OF YOUR BLOCK FOR GOVT SCHEMES AND SUBSIDIES', 'CONTACT AAO FOR GOVT SCHEMES AND SUBSIDIES', 'CONTACT AAO OF YOUR BLOCK FOR GOVT SCHEMES AND SUBSIDIES', 'CONTACT AHO OF YOUR BLOCK FOR GOVT SCHEMES AND SUBSIDIES']",BALASORE,3,Credit,and govt schemes subsidies,ODISHA
3699,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],BARMER,2,	Plant Protection	,black control cummin in leaf me of spot tell,RAJASTHAN
3700,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],AJMER,4,Cultural Practices,control droping fig fruit in me tell,RAJASTHAN
3701,"['Recommended for N: P: K 0:52:34 1 kg at per Acer', 'Recommended for Use potashium sulphate 5 kg at per Acer.\r\nRecommended for N: P: K 0:52:34 1 kg at per Acer']",SAGAR,8,Fertilizer Use and Availability,and crop how in increase production size soybean to,MADHYA PRADESH
3702,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],ALWAR,6,	Plant Protection	,about brinjal control in me tell termite,RAJASTHAN
3703,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],AJMER,7,Nutrient Management,bitter control gourd in me of root rot tell,RAJASTHAN
3704,['SPRAY ZINK SALPHET 33% 5 GM+BUJHA CHUNA 2.5 GM/LITER WATER'],AJMER,1,Fertilizer Use and Availability,colour control crop leaf me tell wheat yellow,RAJASTHAN
3705,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],BANSWARA,4,	Plant Protection	,control insect me moong of tell,RAJASTHAN
3706,['Recommended for seed treatment of soyabean treat the seed with thiram or captan or mancozab or monosan @2-2.5 gram/kg of seed.'],SAGAR,5,	Plant Protection	,farmer information needs of regarding seed soyabean treatment,MADHYA PRADESH
3707,['Recommended for to control cricket insects in soybean apply phorate 10G @ 5-6 kg/acre.'],SAGAR,7,Cultural Practices,about control cricket farmer how in information insects know soybean to to wants,MADHYA PRADESH
3708,['Jaipur Discom Centralised Call center Toll Free No 1800-180-6507'],ALWAR,8,Market Information,call center centralised contact discom me no tell,RAJASTHAN
3709,[''],DAMOH,1,	Plant Protection	,about control farmer how in information know lentil pest sucking to to wants,MADHYA PRADESH
3710,['GRAM KA MANDI BHAV 5260'],AJMER,3,Market Information,information markrt me tell,RAJASTHAN
3711,['Recommended for to control of rodents attack in wheat crop apply zinc phosphide in field.'],AJMER,5,Government Schemes,attack control crop farmer guar in information needs of regarding rodents,RAJASTHAN
3712,"['Crop name masur  - Minimum Price(Rs-3350 /Quintal) ,  Maximum Price(Rs-3550 /Quintal)-, Modal Price (Rs -3450  /Quintal']",SAGAR,5,Market Information,about farmer in information know mandi market masur of rahatgarh rate to want,MADHYA PRADESH
3713,['Please use organic mannure and insecticide on your field.'],SAGAR,6,Weather,farmer farming for infomation needs organic,MADHYA PRADESH
3714,['The next 8 days of weather information: - Chance for light rainfall for your district with cloudfy weather.'],SAGAR,7,Weather,dist farmer for information madhya needs of pradesh rajgarh regarding state,MADHYA PRADESH
3715,['SPRAY OF QUINOLPHOS 25% EC 2 ML PER LITER WATER'],ALWAR,6,Weather,control gourd in me of pest ridge sucking tell,RAJASTHAN
3716,"['', 'recommended for fertilizer  schedule in SOYBEAN 87 kg urea, 500 kg SSP AND 34 kg MOP/hacter']",SAGAR,6,Fertilizer Use and Availability,crop dose fertilizer in soybean,MADHYA PRADESH
3717,"['SPRAY OF NPK 10 GM/LITRE', 'SPRAY OF THIOUREA 0.5 GM PER LITER WATER']",ALWAR,1,Fertilizer Use and Availability,growth in me tell wheat,RAJASTHAN
3718,['RECOMMENDED TO SPRAY ACEPHETE 1.5 GM/ LIT WATER FOR CONTROL OF LEAF CURL IN PAPAYA'],CUTTACK,1,	Plant Protection	,curl in leaf papaya,ODISHA
3719,"['VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344']",AJMER,6,Varieties,me moong of tell vareity,RAJASTHAN
3720,"['Recommended for weed MANAGEMENT in wheat spray 2-4 D @ 40ml/pump.', 'Recommended   for weed MANAGEMENT in wheat spray metsulfuran @ 1gm/pump.']",SAGAR,1,Weed Management,about farmer in information know management to wants weed wheat,MADHYA PRADESH
