,answers,changed-questions,district,month,query-type,state
3934,"['VARIETY OF CASTOR = MRCA 409, RHC 1, GCH 4, GCH 5, GCH 7']",caster tell varities,BARMER,6,Seeds,RAJASTHAN
3935,['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER'],castor catterpillor control tell,BARMER,9,	Plant Protection	,RAJASTHAN
3936,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],control insect lemon tell,ALWAR,8,	Plant Protection	,RAJASTHAN
3937,['USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION'],control tell termite wheat,ALWAR,1,	Plant Protection	,RAJASTHAN
3938,['recommend for spray Emamectin benzoate 5 % SG 5-6 gram/pump'],borer control fruit,SAGAR,8,	Plant Protection	,MADHYA PRADESH
3939,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],borer crop gram pod tell,ALWAR,3,	Plant Protection	,RAJASTHAN
3940,['BARMER\tTIL (GAJJAR)\t5500'],market rate tell til,BARMER,1,Market Information,RAJASTHAN
3941,['SPRAY OF THIOUREA .5 GM/LITRE'],gram growth tell,ALWAR,2,Fertilizer Use and Availability,RAJASTHAN
3942,['Recommended for Spray of Queenolfos 25 EC 1000 Ml. / hac.'],brinjil problem,SAGAR,5,	Field Preparation	,MADHYA PRADESH
3943,"['When the symptoms of the standing crop are shown, triaccharazole 1 gram or carbendazim per 2 gms. Or mensageb 3 3 g per liter of spraying.']",crops disease farmer information know paddy wants,JABALPUR,9,	Plant Protection	,MADHYA PRADESH
3944,['Spray of Carbendazim @ 45 gm + Streptrocyclin @ 2 gm. /pump...'],control disease masur wilt,SAGAR,1,	Plant Protection	,MADHYA PRADESH
3945,"['Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha \r\n\xe2\x80\xa2\tMethyl demotion 25 EC@ 500 ml/ha.', 'Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha\r\n  dimethoate 30 EC 30 ml/pump \r\n1.  spray dimethoate 30 EC, 30 ml per pump   \r\n\xe2\x80\xa2\tMethyl demotion 25 EC@ 500 ml/ha.', '1.  spray dimethoate 30 EC, 30 ml per pump', 'Spray imedachlorprid 17.8 SL 5-7 ml at 15 liter of water', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\nDimethoate 30 EC 500 ml/ha \r\nMethyl demotion 25 EC@ 500 ml/ha.\r\nRecommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\nDimethoate 30 EC 500 ml/ha \r\nMethyl demotion 25 EC@ 500 ml/ha.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\nSpray dimethoate 30 EC 500 ml/ha \r\nSpray Methyl demeton (metasystox 25 ec) 25 EC@ 500 ml/ha.\r\nSpray imedachlorprid 17.8 SL 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray Dimethoate 30 EC 30 ml/pump.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\nSpray dimethoate 30 EC 500 ml/ha', 'Recommended for to control sucking pest in crop spray imidachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\ndimethoate 30 EC 500 ml/ha', 'Recommended for to control sucking pest in garlic crop spray fipronil@ 25 ml at 15 liter of water.', 'Spray imedachlorprid 17.8 SL 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest Spray Spray dimethoate 30 EC 30 ml/ha.', 'Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation \r\nDimethoate 30 EC 500 ml/ha \r\nOR\r\nMethyl demotion 25 EC@ 500 ml/ha.', 'Dimethoate 30 EC 500 ml/ha']",control crop farmer information know pest sucking wants,SAGAR,3,	Plant Protection	,MADHYA PRADESH
3946,"['Farmer brother The crop advice message facility has been registered at number, this service will be started soon.']",advisory crop facility farmer know number sms want,SAGAR,7,Government Schemes,MADHYA PRADESH
3947,['Recommended for Spray Use emamectin benjoate  10 ml at 15 liter of water or indoxa carb 14.5 % SC @ 10 ml at 15 liter of water.'],borer brinjal control crop farmer fruit information know want,DAMOH,8,	Plant Protection	,MADHYA PRADESH
3948,['RECOMMENDED TO SPRAY MIRACULAN 1ML/1 LIT WATER AT AFTERNOON'],chilli droping fruit,BALANGIR,2,Cultural Practices,ODISHA
3949,"['Recommended for Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or tray and put in the bottom to take out. Collected the soil from 6-9 inch depth by hand, mix thoroughly and put on clean clothes pile, make a goal. Different finger to remove dirt from the pile of four equal parts. Now the remaining two parts of the soil again to mix well and set goals. This process is then repeated until almost half forts Top soil remains. The representative samples.']",collection collection farmer farmer information information method method needs needs regarding regarding sample sample soil soil soil soil testing testing,SAGAR,4,Soil Testing,MADHYA PRADESH
3950,"['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER']",control insect mung tell,BARMER,9,	Plant Protection	,RAJASTHAN
3951,"['DETAIL PACKAGE OF PRACTICE EXPLAINED IN BEE KEEPING CULTIVATION', 'DETAIL DATA EXPLAINED IN BEE KEEPING CULTIVATION']",bee cultivation keeping,BALANGIR,4,Cultural Practices,ODISHA
3952,['SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER'],bajra mangement nutrient tell,BARMER,5,Nutrient Management,RAJASTHAN
3953,['JODHPUR (GRAIN)  GOWAR 3150 RS/QT'],gwar mandi mem rate tell,BARMER,1,Market Information,RAJASTHAN
3954,"['Recommended for to control of fungal attack in gram crop use captan 5% + hexaconazol 70% use 40gm and streptocyclin 2 gram at 15 liter of water or Spray of Hexaconazole 5% EC @ 250-400 ml/acre or 20ml/pump and streptocyclin 2 gram at 15 liter of water', 'Trichoderma by 3-4 grams per liter of water solution at an interval of 10-15 days, 3-4 times over crop spraying airborne disease control.', 'Recommended for to control of fungal attack in gram crop use validamycin 3% L 25ml at 15 liter of water', 'Recommended for to control of fungal attack in gram crop use captan 5% + hexaconazol 70% use 40gm and streptocyclin 2 gram at 15 liter of water or Spray of Hexaconazole 5% EC @ 250-400 ml/acre or 20ml/pump and streptocyclin 2 gram at 15 liter of water or Thiram 15% + Carbendazim 35% 30-40 gram per pump and streptocyclin 2 gram at 15 liter of water', 'Dear farmer for soil and plant treatment against fungal disease Trichoderma by 3-4 grams per liter of water solution at an interval of 10-15 days, 3-4 times over crop spraying airborne disease control and soil treatment use bio fungicide trichoderma viride 2.5 kg per acre with 200 kg of FYM night in sufficient moisture', 'Recommended for to control of fungal attack in lentil  crop use thiophinate mithyl 70 wp 25-30 gram and streptocyclin 2 gram at 15 liter of water']",attack control crop farmer fungal information lentil needs regarding,SAGAR,1,	Plant Protection	,MADHYA PRADESH
3955,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],castor control leaf leaf spot tell,BARMER,2,	Plant Protection	,RAJASTHAN
3956,['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP'],control moong sucking,SAGAR,4,	Plant Protection	,MADHYA PRADESH
3957,"['VARIETY OF AMERICAN COTTON  -RS 2013,RST 9,RS 810,BIKANERI NARMA,MARU VIKASH(RAJ H H 16)(HAYBRID COTTON )', 'VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6488']",cotton tell veriety,AJMER,4,Varieties,RAJASTHAN
3958,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],flower pomegranate tell,BARMER,9,	Plant Protection	,RAJASTHAN
3959,['SPRAY OF 24D 1300 ML/HAC'],tell weedicide wheat,ALWAR,2,Weed Management,RAJASTHAN
3960,['0141-5116242'],bhawan contract number pant tell,ALWAR,3,Weather,RAJASTHAN
3961,"['Recommended for spray Quinalphos 25% EC 40ml/pump.', 'Recommended for spray Emamectin benzoate 5 % SG 5-7 GRAM per 15 litter water.']",caterpillar control crop farmer want,DAMOH,7,	Plant Protection	,MADHYA PRADESH
3962,"['Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'Cow urin- Cow Urine, fill in glass vial can put on sun light. The old cow urine would be much more effective. Use cow urin 12-15 ml Per liter of water and spray with the help of 15 liter of water pump after 15 days of sowing in the crop at the interval of 10 days. Crops will resistant to disease and insects are less likely to develop the outbreak.', 'Cow Urine, fill in glass vial can put on sun light. The old cow urine would be much more effective. Use cow urin 12-15 ml Per liter of water and spray with the help of 15 liter of water pump after 15 days of sowing in the crop at the interval of 10 days. Crops will resistant to disease and insects are less likely to develop the outbreak.', 'Cow urin-\r\nCow Urine, fill in glass vial can put on sun light. The old cow urine would be much more effective. Use cow urin 12-15 ml Per liter of water and spray with the help of 15 liter of water pump after 15 days of sowing in the crop at the interval of 10 days. Crops will resistant to disease and insects are less likely to develop the outbreak.', 'Neem leaf solution- 10-12 kg of neem leaves, 1-2 kg aipomia or dhatura leaf and 30-60 gram tobaco dubbed in 200 liters of water for 4 days. When water will green color with ywllow then you can spray in a 1 acre prevents for larvae. Besrm to increase the intensity of the drug, datura, tobacco leaves, etc.', 'Neem leaf solution- 10-12 kg of neem leaves, 1-2 kg aipomia or dhatura leaf and 30-60 gram tobaco dubbed in 200 liters of water for 4 days. When water will green color with ywllow then you can spray in a 1 acre prevents for larvae. Besrm to increase the intensity of the drug, datura, tobacco leaves, etc. \r\nNeem insecticide- Dear farmer for make neem ark with cow urin use (For 4 acre)\r\ncow urin- 10 liter, Fresh neem leaf- 5 kg, Dhatura leaf- 1.5 kg and ipomea leaf- 1.5 kg dibbed for 8 days and boil in 9th day, and use 100-150 ml per pump', '#. Neem leaf solution\r\n10-12 kg of neem leaves, 1-2 kg aipomia or dhatura leaf and 30-60 gram tobaco dubbed in 200 liters of water for 4 days. When water will green color with ywllow then you can spray in a 1 acre prevents for larvae. Besrm to increase the intensity of the drug, datura, tobacco leaves, etc.', 'oAsafetida nut shaped stone tied to a wrap and flowing water drain and place in a farm. Termites and Ugra disease that shall be destroyed.', 'Panchagavya- Panchagavya, an organic product has the potential to play the role of promoting growth and providing immunity in plant system. Panchagavya consists of nine products viz. cow dung, cow urine, milk, curd, jaggery, ghee, banana, Tender coconut and water. When suitably mixed and used, these have miraculous effects.\r\nCow dung - 7 kg, Cow ghee - 1 kg\r\nMix the above two ingredients thoroughly both in morning and evening hours and keep it for 3 days\r\nCow Urine - 10 liters, Water - 10 liters\r\nAfter 3 days mix cow urine and water and keep it for 15 days with regular mixing both in morning and evening hours. After 15 days mix the following and panchagavya will be ready after 30 days.\r\nCow milk - 3 liters, Cow curd - 2 liters, Tender coconut water - 3 liters, Jaggery - 3 kg', '#. Neem leaf solution\r\n10-12 kg of neem leaves, dubbed in 200 liters of water for 4 days. When water will green color with ywllow then you can spray in a 1 acre prevents for larvae. Besrm to increase the intensity of the drug, datura, tobacco leaves, etc.']",control crop farmer information measures needs pest regarding,SAGAR,8,	Plant Protection	,MADHYA PRADESH
3963,['Planting season\r\nThe planting can be done during two seasons namely June \xe2\x80\x93 July and September \xe2\x80\x93 October.'],aleo cultivation farmer know vera want,MANDLA,6,Seeds and Planting Material,MADHYA PRADESH
3964,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER'],control disease tell wheat,ALWAR,1,	Plant Protection	,RAJASTHAN
3965,"['Address: Dapoli, Maharashtra 415712\r\nPhone: 02358 282 065', 'visit to Tahsil Agricultural Officer to getting detail information about Govt. Schemes.', 'visit to TAO to getting detail information about Govt. Schemes.', 'visit to TALUKA AGRICULTURE OFFICER to getting detail information about Govt. Schemes.', 'visit to tahsil agricultural officer to getting detail information about Govt. Schemes.']",asked farmer govt schemes,RAIGARH,4,Government Schemes,MAHARASHTRA
3966,['5KG FYM + 10 G URIYA +100 GRAM SSP +100 GRAM POTASH'],fertilizer mango tell use,BARMER,7,	Plant Protection	,RAJASTHAN
3967,['Dr.B.K. Tiwari\r\nProgramme Coordinator\r\nKrishi Vigyan Kendra\r\nNavgaon\r\nDistt. Alwar - 301 025\r\n01468-\r\n275276'],contact kvk n tell,ALWAR,5,Government Schemes,RAJASTHAN
3968,['USE CARBOFURAN 3% G 25-30 KG PER HA'],molya rog tell wheat,ALWAR,1,	Plant Protection	,RAJASTHAN
3969,"['Latest Market Prices Available Lalitpur, Uttar Pradesh (06/04/2017)Lalitpur\tOnion\t15\tTonnes\tNR\tOther\tFAQ\t700\t750\t720\tRs/Quintal']",04 06 2017 available crop farmer information know lalitpur latest market market onion pradesh prices rate uttar wants,SAGAR,4,Market Information,MADHYA PRADESH
3970,"['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER', 'SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER']",bajara groth tell,BARMER,8,Weather,RAJASTHAN
3971,['Odisha  Karanj  21000.00  18000.00  0   \r\n2  Odisha  Mahuwa seed  22000.00  20000.00  0   \r\n3  Odisha  Sal Seed  10000.00  10000.00  0   \r\n4  Odisha  Sal Leaves  21000.00  21000.00  0   \r\n5  Odisha  Chironji Pod with seed  100000.00  60000.00  0   \r\n6  Odisha  Myrobalan  11000.00  8000.00  0   \r\n7  Odisha  Gum karaya  108000.00  108000.00  0   \r\n8  Odisha  Honey  132000.00  150000.00  0   \r\n9  Odisha  Lac Kusumi  290000.00  150000.00  0   \r\n10  Odisha  Lac Rangeeni  210000.00  100000.00  0   \r\n11  Odisha  Tamarind  22000.00  18000.00  0   \r\n12  Odisha  Deseeded Tamarind  0.00  40000.00  1   \r\n13  Odisha  Neem  0.00  12000.00  1   \r\n14  Odisha  kusum seeds  0.00  10000.00  1   \r\n15  Odisha  Puwad seed  0.00  8000.00'],forest msp prodect,DHENKANAL,3,Market Information,ODISHA
3972,['RECOMMENDED TO SPRAY RIDOMIL 2.5 GM/ LIT WATER FOR CONTROL OF LATE BLIGHT OF POTATO'],blight late potato,CUTTACK,1,	Plant Protection	,ODISHA
3973,['Spray Quinalphos (25 % EC)15 ml/ l5 liter of water'],asked borer fore,THANE,4,	Plant Protection	,MAHARASHTRA
3974,"['Recommended for Urea 209kg, dap 130 kg and MOP 50 kg per hac.']",brinjal crop dose farmer fertilizer information need regarding,SAGAR,1,Fertilizer Use and Availability,MADHYA PRADESH
3975,['USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION'],bottle control gourd tell termite,BARMER,3,	Plant Protection	,RAJASTHAN
3976,"['AJMER (GRAIN)\tWHEAT MAXICAN\t1500', 'KEKRI  WHEAT MAXICAN 1585']",market rate tell wheat,AJMER,5,Weather,RAJASTHAN
3977,"['VARIETY OF POTATO--- KUFRIJYOTI,KUFRI SINDURI,KUFRI LALIMA']",potato variety,BALANGIR,7,Cultural Practices,ODISHA
3978,['Recommended for to know about  horticulture please contact rural horticulture extension officer.'],crop farmer horticulture information know wants,JABALPUR,9,Government Schemes,MADHYA PRADESH
3979,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER \r\n+ STREPTOCYCLIN 2 GM PER 15 LITER WATER'],control cotton tell wilt,ALWAR,9,	Plant Protection	,RAJASTHAN
3980,"['MINIMUM 3400Rs./Quintal, MAXIMUM 3500Rs./Quintal, modal 3475Rs./Quintal', 'MINIMUM 4900Rs./Quintal, MAXIMUM 5000Rs./Quintal, modal 4950Rs./Quintal', 'MINIMUM 4600Rs./Quintal, MAXIMUM 6000Rs./Quintal, modal 5500Rs./Quintal']",farmer information know mandi rate urd want,DAMOH,9,Market Information,MADHYA PRADESH
3981,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER \r\nSPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],chawala control insect tell,ALWAR,7,	Plant Protection	,RAJASTHAN
3982,['USE ETHEPHONE.'],injection kumat tell tree use,BARMER,5,Cultural Practices,RAJASTHAN
3983,['CONTACT KVK'],kvk tell,BARMER,8,Training and Exposure Visits,RAJASTHAN
3984,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],brinjal control droping flower tell,BANSWARA,7,Nutrient Management,RAJASTHAN
3985,['Recommended for Spray Dimethoate 30%EC (Rogar) 40 ml per pump.'],bottle control crop farmer fly gourd information need regarding white,SAGAR,2,	Plant Protection	,MADHYA PRADESH
3986,"['Co 1, Panchamukhi, Satamukhi (Kovvur), Sree Pallavi, Sree Kiran and Sree Rashmi are the popular cultivars']",arbi crop farmer information need regarding varieties,SAGAR,5,Seeds and Planting Material,MADHYA PRADESH
3987,['ALL WEED CONTROL IN WHEAT CROPS SPRAY VISTA ( CLODINAPHOP PROPARGYL 15 % + METASULFURANMETHYL 1%) 64 GM PAR HEC AFTER 30-35 DAYS'],control tell wed wheat,ALWAR,1,Weed Management,RAJASTHAN
3988,"['FERTILIZER IN BAIL OF 7 YRS. FYM= 25 KG, UREA= 100 GM, DAP= 200 GM, MOP= 200 GM PER PLANT']",grouth proper tell,ALWAR,3,Nutrient Management,RAJASTHAN
